"nonAg target E","nonAg non Target E"," target F","non Target F","AgIn Target E","AgIN non Target E","Target E","non Target E"
0.26086393,0.37427218,-0.00446120,-0.02886140,1.52226960,0.10129713,1.52226960,0.10129713
0.83520218,0.09904560,-0.00073760,0.00335913,1.43822410,-0.00545460,1.43822410,-0.00545460
0.10929743,0.29220316,0.14653188,-0.00934680,0.75681979,1.09122110,0.75681979,1.09122110
0.99043999,0.07550418,0.03061986,-0.00339510,0.28699241,0.00214157,0.28699241,0.00214157
3.35400590,-0.04754370,0.28128887,0.05227097,0.26118546,0.59170643,0.26118546,0.59170643
0.41284601,0.62846298,-0.21365270,0.03340553,0.28899113,-0.18082390,0.28899113,-0.18082390
0.62741013,0.03771031,0.13260771,0.02815964,0.09109236,-0.06184770,0.09109236,-0.06184770
,-0.07768330,0.13594235,0.06587514,2.19090340,0.16242937,2.19090340,0.16242937
,0.00185858,0.44511172,0.19246548,0.57219159,0.02523761,0.57219159,0.02523761
,0.54681015,0.58049054,-0.04711790,0.18897215,0.11760654,0.18897215,0.11760654
,0.55601224,0.06304402,-0.11810820,0.53380539,-0.05923490,0.53380539,-0.05923490
,1.25840360,,0.04251892,0.39287855,0.05797941,0.39287855,0.05797941
,0.54100143,,0.04713179,0.39534588,0.43669053,0.39534588,0.43669053
,0.74280219,,-0.07622270,0.83172440,0.09385271,0.83172440,0.09385271
,0.57118350,,0.02330144,1.38165740,0.91678485,1.38165740,0.91678485
,1.33928770,,0.02880373,0.88538194,0.26108365,0.88538194,0.26108365
,-0.76094270,,0.00432512,0.53988340,-0.08330930,0.53988340,-0.08330930
,0.06071717,,0.28459640,0.22826320,0.04121244,0.22826320,0.04121244
,0.42422732,,0.01747785,0.56290607,0.00495977,0.56290607,0.00495977
,0.24673530,,-0.05855270,1.02054050,0.04343645,1.02054050,0.04343645
,-0.13290880,,0.07700676,1.30450170,0.04073052,1.30450170,0.04073052
,0.39248815,,0.11151463,0.98497485,-0.07497940,0.98497485,-0.07497940
,0.58923538,,-0.27200550,,-0.14097600,0.26086393,-0.14097600
,0.73212768,,1.13579690,,0.03995269,0.83520218,0.03995269
,0.59347100,,0.13907317,,0.50906026,0.10929743,0.50906026
,,,-0.06643140,,0.10685575,0.99043999,0.10685575
,,,0.29623696,,-0.24768990,3.35400590,-0.24768990
,,,0.38089721,,-0.09079310,0.41284601,-0.09079310
,,,1.13706190,,0.19662572,0.62741013,0.19662572
,,,0.02407905,,0.08084090,,0.08084090
,,,-0.04143550,,0.14608286,,0.14608286
,,,-0.03685430,,-0.97448820,,-0.97448820
,,,-0.04180200,,-0.02148550,,-0.02148550
,,,-0.18344400,,0.93906023,,0.93906023
,,,,,0.61782014,,0.61782014
,,,,,0.30949819,,0.30949819
,,,,,-0.06741330,,-0.06741330
,,,,,0.21115695,,0.21115695
,,,,,0.21953493,,0.21953493
,,,,,0.64784133,,0.64784133
,,,,,0.40856868,,0.40856868
,,,,,-0.06043080,,-0.06043080
,,,,,0.17442044,,0.17442044
,,,,,0.26502341,,0.26502341
,,,,,0.53202497,,0.53202497
,,,,,0.61601878,,0.61601878
,,,,,-0.20635980,,-0.20635980
,,,,,0.85304515,,0.85304515
,,,,,1.98552590,,1.98552590
,,,,,1.35078990,,1.35078990
,,,,,0.00844412,,0.00844412
,,,,,0.13043179,,0.13043179
,,,,,0.23585821,,0.23585821
,,,,,0.10506779,,0.10506779
,,,,,0.49918842,,0.49918842
,,,,,0.86215065,,0.86215065
,,,,,1.01851290,,1.01851290
,,,,,0.08966839,,0.08966839
,,,,,0.52169030,,0.52169030
,,,,,0.29233728,,0.29233728
,,,,,1.20138080,,1.20138080
,,,,,,,0.37427218
,,,,,,,0.09904560
,,,,,,,0.29220316
,,,,,,,0.07550418
,,,,,,,-0.04754370
,,,,,,,0.62846298
,,,,,,,0.03771031
,,,,,,,-0.07768330
,,,,,,,0.00185858
,,,,,,,0.54681015
,,,,,,,0.55601224
,,,,,,,1.25840360
,,,,,,,0.54100143
,,,,,,,0.74280219
,,,,,,,0.57118350
,,,,,,,1.33928770
,,,,,,,-0.76094270
,,,,,,,0.06071717
,,,,,,,0.42422732
,,,,,,,0.24673530
,,,,,,,-0.13290880
,,,,,,,0.39248815
,,,,,,,0.58923538
,,,,,,,0.73212768
,,,,,,,0.59347100