,%Dur,%Amp
Suc-IsukeT1703EDC,40.34044223,78.6234150
Suc-IsukeT1703ECU,38.52369412,57.5821638
Suc-IsukeT6508ECU,40.00264651,108.1405090
Suc-IsukeT6508ED45,54.02442433,102.3089280
Suc-KoumeT2005ECU,68.15103200,106.0631950
Suc-KoumeT3412ED45,99.00456457,95.7254404
Suc-KoumeT3412ECU,91.85839018,115.9775250
Suc-KoumeT5104ECU,121.90259790,99.5712784
Suc-OkochaT3603ED23,49.37132039,91.8443200
Suc-OkochaT3901ED45,46.09257090,78.2893683
Suc-OkochaT4606ED23,50.72583674,68.8572280
Suc-OkochaT4803ECU,47.88677099,80.3308450
Suc-OkochaT4903ED45,55.99702721,80.2577320
Suc-OkochaT4906EDC,59.26614078,88.2939258
Suc-OkochaT5508ED45,73.82228293,97.3446138
Suc-OkochaT690607ECU,48.08943045,80.1426209
Suc-OkochaT690607ED23,54.91885134,89.9562957
Suc-OkochaT690607ED45,51.82763349,86.6949264
Suc-OkochaT7502ED23,59.11662267,89.4654410
Suc-OkochaT8103ED23,53.32720682,83.6378067
Suc-OkochaT8103ED45,52.03129868,84.3991789